פרק,פסוקים
עח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ_מא_מב_מג_מד_מה_מו_מז_מח_מט_נ_נא_נב_נג_נד_נה_נו_נז_נח_נט_ס_סא_סב_סג_סד_סה_סו_סז_סח_סט_ע_עא_עב_
עט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
פ,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ
פא,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז
פב,א_ב_ג_ד_ה_ו_ז_ח_
פג,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט
פד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
פה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_
פו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז
פז,א_ב_ג_ד_ה_ו_ז
פח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט
פט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ_מא_מב_מג_מד_מה_מו_מז_מח_מט_נ_נא_נב_נג
צ,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז
צא,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז
צב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז
צג,א_ב_ג_ד_ה
צד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג
צה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא
צו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג
צז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
צח,א_ב_ג_ד_ה_ו_ז_ח_ט
צט,א_ב_ג_ד_ה_ו_ז_ח_ט
ק,א_ב_ג_ד_ה
קא,א_ב_ג_ד_ה_ו_ז_ח
קב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט
קג,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב
קד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה
קה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ_מא_מב_מג_מד_מה
קו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ_מא_מב_מג_מד_מה_מו_מז_מח
קז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ_מא_מב_מג
קח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
קט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא
קי,א_ב_ג_ד_ה_ו_ז
קיא,א_ב_ג_ד_ה_ו_ז_ח_ט_י
קיב,א_ב_ג_ד_ה_ו_ז_ח_ט_י
קיג,א_ב_ג_ד_ה_ו_ז_ח_ט
קיד,א_ב_ג_ד_ה_ו_ז_ח
קטו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח
קטז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט
קיז,א_ב
קיח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט
קיט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו_כז_כח_כט_ל_לא_לב_לג_לד_לה_לו_לז_לח_לט_מ_מא_מב_מג_מד_מה_מו_מז_מח_מט_נ_נא_נב_נג_נד_נה_נו_נז_נח_נט_ס_סא_סב_סג_סד_סה_סו_סז_סח_סט_ע_עא_עב_עג_עד_עה_עו_עז_עח_עט_פ_פא_פב_פג_פד_פה_פו_פז_פח_פט_צ_צא_צב_צג_צד_צה_צו_צז_צח_צט_ק_קא_קב_קג_קד_קה_קו_קז_קח_קט_קיא_קיב_קיג_קיד_קטו_קטז_קיז_קיח_קיט_קכ_קכא_קכב_קכג_קכד_קכה_קכו_קכז_קכח_קכט_קל_קלא_קלב_קלג_קלד_קלה_קלו_קלז_קלח_קלט_קמ_קמא_קמב_קמג_קמד_קמה_קמו_קמז_קמח_קמט_קנ_קנא_קנב_קנג_קנד_קנה_קנו_קנז_קנח_קנט_קס_קסא_קסב_קסג_קסד_קסה_קסו_קסז_קסח_קסט_קע_קעא_קעב_קעג_קעד_קעה_קעו_
קכ,א_ב_ג_ד_ה_ו_ז
קכא,א_ב_ג_ד_ה_ו_ז_ח
קכב,א_ב_ג_ד_ה_ו_ז_ח_ט
קכג,א_ב_ג_ד
קכד,א_ב_ג_ד_ה_ו_ז_ח
קכה,א_ב_ג_ד_ה
קכו,א_ב_ג_ד_ה_ו
קכז,א_ב_ג_ד_ה
קכח,א_ב_ג_ד_ה_ו
קכט,א_ב_ג_ד_ה_ו_ז_ח
קל,א_ב_ג_ד_ה_ו_ז_ח
קלא,א_ב_ג
קלב,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח
קלג,א_ב_ג
קלד,א_ב_ג
קלה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא
קלו,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד_כה_כו
קלז,א_ב_ג_ד_ה_ו_ז_ח_ט
קלח,א_ב_ג_ד_ה_ו_ז_ח
קלט,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא_כב_כג_כד
קמ,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
קמא,א_ב_ג_ד_ה_ו_ז_ח_ט_י
קמב,א_ב_ג_ד_ה_ו_ז_ח
קמג,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב
קמד,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו
קמה,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ_כא
קמו,א_ב_ג_ד_ה_ו_ז_ח_ט_י
קמז,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד_טו_טז_יז_יח_יט_כ
קמח,א_ב_ג_ד_ה_ו_ז_ח_ט_י_יא_יב_יג_יד
קמט,א_ב_ג_ד_ה_ו_ז_ח_ט
קנ,א_ב_ג_ד_ה_ו
